,count,gender
Peter,625,m
Hans,564,m
Michael,534,m
Thomas,429,m
Wolfgang,416,m
Christian,403,m
Martin,363,m
Klaus,340,m
Heinz,304,m
Walter,301,m
Werner,291,m
Andreas,290,m
Ulrich,264,m
Paul,256,m
Joachim,240,m
Dieter,223,m
Robert,220,m
Christoph,215,m
Jürgen,211,m
Stefan,209,m
Karl,203,m
Ernst,190,m
Gerhard,189,m
Rudolf,186,m
Helmut,181,m
Horst,178,m
Rolf,174,m
Manfred,173,m
Alexander,172,m
Jan,171,m
Matthias,169,m
Frank,167,m
Georg,161,m
Rainer,160,m
Richard,155,m
Fritz,148,m
Günter,146,m
Johannes,146,m
Josef,145,m
Friedrich,145,m
Barbara,143,f
Bernd,142,m
Hermann,140,m
Kurt,138,m
Heinrich,137,m
Daniel,131,m
Wilhelm,129,m
Otto,127,m
Franz,127,m
David,123,m
Dietrich,121,m
Julia,119,f
Susanne,118,f
Markus,114,m
Jörg,110,m
Herbert,109,m
Ludwig,108,m
Uwe,106,m
Sabine,105,f
Stephan,104,m
Volker,101,m
Harald,101,m
Norbert,100,m
Anna,99,f
Gerd,98,m
Günther,97,m
Jens,96,m
Bernhard,94,m
Oliver,94,m
Katharina,94,f
Petra,92,f
Andrea,92,f
Simon,92,m
John,92,m
Reinhard,92,m
Sebastian,91,m
Jochen,87,m
Roland,86,m
Claus,85,m
Eva,85,f
Philipp,84,m
Ralf,82,m
Claudia,81,f
Karl-Heinz,80,m
Elisabeth,78,f
Max,78,m
Ulrike,78,f
Gabriele,77,f
Monika,76,f
Marion,75,f
Christine,74,f
Felix,74,m
Carl,72,m
Erich,72,m
Sven,71,m
Maria,70,f
Christiane,70,f
Anne,69,f
Alfred,68,m
Dirk,68,m
Tobias,68,m
Marc,67,m
Nina,66,f
Stefanie,64,f
Florian,63,m